Year,awful,wellBelowAverage,notGoodAtAll,poor,belowAverage,average,aboveAverage,fairlyGood,good,wellAboveAverage,veryGood,excellent
2016,41,21,9,17,13,11,9,7,4,6,5,2
2015,65,26,17,29,21,17,10,9,13,10,8,10
2014,15,11,20,19,12,14,24,8,17,13,16,9
2013,16,10,6,10,13,16,12,13,6,7,16,17
2012,46,18,13,19,21,22,16,23,13,21,32,7
2011,16,6,12,41,27,34,23,17,19,6,19,15
2010,19,4,13,17,29,33,23,25,15,11,22,14
2009,23,17,11,31,15,36,29,38,16,20,17,13
2008,18,12,19,16,14,19,21,15,31,10,26,14
2007,15,17,4,22,9,21,24,25,26,14,18,8
2006,30,21,19,20,19,9,13,13,13,4,10,8
2005,10,12,12,26,15,28,21,17,15,13,12,8
2004,9,10,13,12,5,17,8,12,12,10,11,6
2003,9,9,11,15,14,15,10,17,10,6,13,10
2002,9,6,10,14,10,15,11,13,8,5,10,12
2001,5,6,5,2,5,5,7,5,8,2,5,10
2000,1,0,5,3,1,8,4,3,5,2,7,5
1999,2,3,1,3,0,4,3,4,8,2,6,2
1998,2,2,3,6,5,1,5,7,3,2,2,6
1997,2,1,4,2,0,4,4,2,1,3,2,6
1996,3,1,0,1,0,4,2,3,0,0,2,4
1995,0,0,0,2,1,0,0,2,2,0,1,0
1994,2,0,1,0,0,0,0,0,0,0,1,0
1993,0,0,3,0,0,1,0,1,0,0,1,0
1992,0,0,0,0,0,0,0,0,0,0,0,1
1991,0,0,1,0,0,0,1,1,0,0,1,1
1990,0,0,0,0,0,0,0,0,0,0,1,2
1989,0,0,0,0,0,0,0,0,1,0,0,1
1988,0,0,0,0,0,0,1,0,0,0,1,0
1987,0,0,0,0,0,0,0,0,1,1,0,0
1986,0,0,0,0,0,0,0,0,1,0,3,2
1985,1,0,0,0,0,0,0,0,0,0,0,1
1984,0,0,0,0,0,0,0,0,0,0,0,1
1983,0,0,0,0,0,1,1,2,2,1,0,0
1982,0,0,0,0,2,2,4,5,4,1,0,0
1981,25,0,0,0,0,3,3,8,3,5,1,2
1980,1,0,0,0,0,0,0,1,0,0,0,0
