Year,awful,wellBelowAverage,notGoodAtAll,poor,belowAverage,average,aboveAverage,fairlyGood,good,wellAboveAverage,veryGood,excellent
2016,23,6,3,2,3,1,1,2,0,0,1,0
2015,22,9,4,4,1,1,0,1,1,3,2,0
2014,17,8,6,12,3,7,4,0,1,0,0,0
2013,25,6,4,3,2,0,1,2,1,0,2,0
2012,22,7,6,5,1,2,3,0,2,2,0,0
2011,37,20,6,14,9,4,3,1,2,1,1,2
2010,57,22,11,10,5,13,7,3,3,2,0,1
2009,32,16,7,20,4,13,10,7,2,4,4,0
2008,41,22,20,15,8,12,8,4,6,2,4,1
2007,24,8,4,8,7,6,5,2,5,0,4,2
2006,19,12,3,8,3,3,7,1,3,0,4,0
2005,3,3,5,7,6,3,5,4,1,2,1,0
2004,4,5,3,4,5,5,3,3,1,5,0,0
2003,3,0,2,1,0,2,0,4,0,0,0,0
2002,6,1,5,2,4,6,6,8,0,0,0,2
2001,0,2,1,2,3,5,1,3,1,0,1,2
2000,1,0,3,4,2,2,1,2,0,1,0,0
1999,2,2,2,2,3,2,0,1,1,0,4,0
1998,3,0,2,6,3,3,1,1,2,0,0,2
1997,0,0,2,2,5,2,0,1,0,1,0,1
1996,3,3,0,2,1,1,1,3,2,1,0,0
1995,4,2,4,1,1,0,0,0,0,0,0,0
1994,0,0,2,0,0,0,0,0,0,1,0,1
1993,0,0,1,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,1,1,0,0,0,1,0,1
1991,0,0,0,0,0,0,0,0,1,0,1,0
1990,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,1
1986,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,1,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0
