Year,awful,wellBelowAverage,notGoodAtAll,poor,belowAverage,average,aboveAverage,fairlyGood,good,wellAboveAverage,veryGood,excellent
2016,3,0,4,3,1,0,1,1,0,0,3,0
2015,4,3,1,2,0,1,2,3,1,0,2,1
2014,0,1,3,3,4,5,2,2,0,0,0,2
2013,4,1,2,2,1,2,2,0,2,0,4,0
2012,1,2,3,1,2,3,1,4,2,7,0,0
2011,1,2,4,10,4,3,4,7,5,2,6,2
2010,4,5,3,5,0,1,2,5,4,5,4,0
2009,4,4,4,5,1,4,2,8,7,2,7,4
2008,5,3,8,7,3,8,1,5,2,3,6,4
2007,5,5,7,9,3,3,2,1,0,1,7,2
2006,5,8,3,4,4,6,4,4,4,4,5,2
2005,4,2,4,5,1,3,4,8,6,2,2,2
2004,1,1,0,5,7,5,4,2,5,4,2,2
2003,2,3,2,5,2,5,4,3,5,4,4,4
2002,1,5,3,8,11,2,5,4,4,3,1,5
2001,1,1,0,0,3,1,1,1,3,3,2,2
2000,0,1,2,3,2,6,2,3,3,2,2,3
1999,1,2,0,6,1,1,1,1,2,3,3,1
1998,1,2,3,1,3,7,8,1,2,2,7,4
1997,1,1,1,3,3,3,5,5,0,2,4,0
1996,1,2,2,3,4,5,3,1,2,2,3,2
1995,3,0,2,4,1,4,3,6,1,2,0,3
1994,2,2,0,2,4,2,3,2,1,0,4,0
1993,0,0,1,0,2,0,1,1,1,1,2,2
1992,0,0,2,0,0,0,0,1,0,0,1,3
1991,0,0,0,0,0,0,0,1,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,2
1986,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,1,0
1984,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0
1980,1,0,0,0,0,0,0,0,0,1,0,0
