Year,awful,wellBelowAverage,notGoodAtAll,poor,belowAverage,average,aboveAverage,fairlyGood,good,wellAboveAverage,veryGood,excellent
2016,11,9,3,3,1,1,2,0,0,1,0,0
2015,7,2,4,2,2,2,2,7,3,4,2,0
2014,7,0,2,3,4,5,2,4,4,1,0,5
2013,6,3,4,5,1,5,4,3,2,1,4,3
2012,6,3,1,0,2,6,7,3,2,1,1,3
2011,23,13,12,29,22,21,21,16,7,4,7,4
2010,24,17,14,33,18,23,15,15,16,9,3,8
2009,13,17,15,35,14,19,20,27,13,7,16,5
2008,18,20,11,24,16,24,16,16,18,12,13,12
2007,24,9,9,18,13,9,10,7,9,10,10,13
2006,21,16,13,11,6,8,5,3,2,3,7,6
2005,9,11,15,9,13,16,12,9,5,3,6,5
2004,1,4,3,10,9,18,9,10,8,4,6,2
2003,1,4,5,5,1,9,5,10,6,0,5,2
2002,3,3,1,6,2,9,5,2,9,2,0,2
2001,1,1,2,2,3,2,3,1,4,3,1,3
2000,0,2,1,3,0,2,2,1,1,3,2,3
1999,1,1,0,1,1,4,4,1,4,0,5,3
1998,1,1,2,3,0,1,5,1,1,2,4,1
1997,1,1,0,1,2,1,1,1,0,1,3,0
1996,3,2,1,3,1,4,2,2,2,0,1,2
1995,4,5,1,5,1,1,2,1,1,0,0,1
1994,1,3,0,0,0,0,1,0,0,0,0,1
1993,0,1,1,0,0,1,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,2
1991,0,0,0,1,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,1,0
1988,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,1,0
1983,0,0,0,0,0,0,0,0,0,0,0,1
1982,0,0,0,0,0,0,0,0,0,1,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,2,0,0,0,2,0
