Year,awful,wellBelowAverage,notGoodAtAll,poor,belowAverage,average,aboveAverage,fairlyGood,good,wellAboveAverage,veryGood,excellent
2016,2,1,1,5,1,3,0,1,0,0,1,0
2015,1,2,0,3,1,0,2,0,1,0,1,1
2014,0,0,0,0,1,0,0,1,1,0,3,2
2013,2,1,0,6,1,2,3,4,6,1,5,4
2012,1,1,0,1,3,0,0,0,1,1,1,2
2011,4,5,3,5,2,4,1,1,1,2,7,2
2010,1,2,1,4,1,4,8,1,0,1,2,6
2009,4,0,2,6,2,2,1,1,5,1,2,3
2008,3,4,2,7,4,1,2,10,10,5,8,3
2007,6,4,3,2,2,2,1,6,5,2,3,5
2006,4,4,2,10,8,5,5,6,3,0,2,4
2005,13,3,6,12,12,8,9,5,3,8,3,1
2004,2,2,2,7,6,5,4,8,7,7,10,5
2003,7,9,8,6,6,11,8,9,5,2,10,5
2002,7,5,3,6,5,9,10,5,7,3,9,7
2001,2,3,3,2,8,2,2,4,3,4,1,8
2000,0,2,1,4,2,2,4,1,2,1,2,3
1999,0,0,0,1,3,2,2,1,1,3,2,3
1998,1,2,1,0,3,0,2,3,4,1,3,5
1997,0,1,2,1,2,1,2,2,0,0,3,4
1996,1,0,1,2,0,2,1,1,0,1,1,4
1995,1,2,1,1,0,0,3,0,0,1,0,4
1994,0,1,0,1,0,0,0,1,0,0,2,6
1993,0,1,1,0,0,0,1,0,3,0,4,1
1992,0,1,0,0,0,1,0,0,0,1,1,2
1991,0,0,0,0,0,0,2,0,1,0,2,1
1990,0,0,0,0,0,0,0,0,0,0,2,1
1989,0,0,0,0,0,0,0,0,0,1,1,1
1988,0,0,0,0,0,0,0,0,0,0,2,2
1987,0,0,0,0,0,0,0,0,0,1,1,0
1986,0,0,0,0,0,0,0,0,0,0,5,1
1985,0,0,0,0,0,0,0,0,1,0,2,1
1984,0,0,0,0,0,0,0,0,0,1,0,0
1983,0,0,0,0,0,0,0,0,0,0,4,1
1982,0,0,0,0,0,0,0,0,1,1,3,0
1981,3,0,0,0,0,0,0,0,0,0,2,1
1980,0,0,0,0,0,0,0,0,0,0,0,0
