Year,awful,wellBelowAverage,notGoodAtAll,poor,belowAverage,average,aboveAverage,fairlyGood,good,wellAboveAverage,veryGood,excellent
2016,0,0,0,0,0,0,0,0,0,0,0,0
2015,2,0,1,1,0,0,0,0,1,0,0,0
2014,1,2,1,1,0,0,0,0,0,0,1,0
2013,0,0,0,2,0,0,0,0,0,1,0,0
2012,4,1,0,1,0,0,0,0,0,2,0,0
2011,13,6,6,7,3,1,2,1,0,0,0,1
2010,7,4,5,9,2,6,4,0,2,2,1,1
2009,9,12,5,6,13,7,7,3,4,3,2,2
2008,9,6,6,10,10,7,3,0,3,2,3,1
2007,14,9,5,8,7,2,4,5,4,1,1,4
2006,8,7,3,3,4,3,4,1,0,1,1,2
2005,4,2,2,8,5,0,4,2,3,0,0,1
2004,5,4,2,2,1,1,2,0,3,1,2,1
2003,1,2,0,0,1,1,0,0,0,1,1,0
2002,2,4,4,3,0,1,0,0,0,1,1,1
2001,1,4,0,0,2,1,3,1,0,0,2,1
2000,1,1,0,1,0,2,1,2,2,0,1,0
1999,0,3,0,1,0,0,1,0,0,1,0,0
1998,1,0,2,2,1,1,0,2,0,1,2,1
1997,1,0,1,1,1,3,1,2,1,0,3,0
1996,1,0,0,2,2,0,1,2,0,0,0,1
1995,0,3,2,0,1,1,1,2,2,0,0,0
1994,1,0,0,0,0,0,0,0,0,2,0,0
1993,0,0,0,0,0,0,0,0,1,0,2,0
1992,0,0,0,0,0,0,1,0,1,0,3,0
1991,0,0,0,0,0,0,0,2,0,1,1,0
1990,0,0,0,0,0,0,0,0,0,0,1,1
1989,0,0,1,0,1,0,0,0,0,0,0,3
1988,0,0,0,0,0,0,0,0,0,0,0,1
1987,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,1,1,0,2,0
1984,0,0,0,0,0,0,0,0,0,1,2,0
1983,0,0,0,0,0,0,0,0,0,1,0,0
1982,0,0,0,0,0,0,0,0,1,0,1,1
1981,2,0,0,0,0,0,0,0,1,0,1,0
1980,0,0,0,0,0,0,0,0,0,0,0,0
