Year,awful,wellBelowAverage,notGoodAtAll,poor,belowAverage,average,aboveAverage,fairlyGood,good,wellAboveAverage,veryGood,excellent
2016,5,4,2,3,2,0,0,2,0,0,1,0
2015,2,4,0,1,1,2,2,0,0,2,1,2
2014,3,2,1,5,0,5,2,2,0,2,2,2
2013,0,1,2,0,0,0,4,1,1,2,1,3
2012,2,3,1,4,1,2,4,3,4,0,3,2
2011,3,1,7,7,12,11,3,1,7,5,4,2
2010,7,6,4,5,3,7,3,2,5,4,7,3
2009,13,6,6,7,6,6,6,9,8,5,4,4
2008,12,3,3,9,6,9,6,8,4,5,7,6
2007,13,6,2,4,8,3,14,6,10,5,4,6
2006,9,10,3,10,5,5,2,3,7,3,14,2
2005,9,3,6,7,7,9,8,3,9,2,8,4
2004,4,6,4,9,7,5,6,4,8,2,8,5
2003,20,8,4,15,9,4,15,2,6,2,13,5
2002,12,9,7,15,11,9,13,3,6,6,6,2
2001,2,2,3,4,12,9,7,9,6,4,6,7
2000,1,1,1,7,3,9,4,2,5,3,5,2
1999,1,4,2,3,2,8,6,6,4,4,5,4
1998,2,1,5,6,4,3,5,9,1,1,9,3
1997,2,0,3,4,4,0,5,4,2,4,3,4
1996,0,0,3,1,1,1,2,2,0,2,6,4
1995,0,2,1,1,2,1,0,0,0,0,5,0
1994,0,0,3,0,0,2,1,0,1,1,0,0
1993,0,0,0,0,0,0,0,1,0,0,0,0
1992,0,0,0,0,0,0,1,0,0,0,0,1
1991,0,0,0,0,0,0,0,0,0,0,1,0
1990,0,0,0,0,0,0,0,0,0,0,0,2
1989,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,1
1987,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,1
1985,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,1,0,0,0,1,1
1983,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,1,0,0,1,0
1981,1,0,0,0,0,0,0,0,1,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0
