Year,awful,wellBelowAverage,notGoodAtAll,poor,belowAverage,average,aboveAverage,fairlyGood,good,wellAboveAverage,veryGood,excellent
2016,15,2,5,3,5,7,2,8,1,1,2,1
2015,9,12,9,8,4,3,9,3,4,5,7,3
2014,11,9,14,12,5,11,2,2,4,7,6,6
2013,7,2,7,8,5,12,5,4,5,1,7,5
2012,7,6,7,9,6,10,7,3,2,5,10,6
2011,12,8,6,7,7,9,9,8,9,5,4,7
2010,16,7,4,8,18,5,7,7,8,4,9,9
2009,12,11,3,9,7,11,13,6,10,3,4,7
2008,10,8,13,7,11,13,11,6,7,9,7,6
2007,11,6,15,14,10,6,6,6,5,8,4,6
2006,20,7,4,11,4,15,16,12,6,1,3,6
2005,8,6,7,11,10,2,5,2,6,5,6,3
2004,5,4,3,5,6,5,9,3,5,2,5,8
2003,2,5,1,5,4,5,6,4,2,4,5,5
2002,6,6,2,2,3,9,4,3,4,3,8,3
2001,5,1,2,9,2,3,4,5,3,1,5,1
2000,0,1,1,2,2,3,3,3,4,3,2,4
1999,0,1,1,2,2,2,5,3,4,5,3,5
1998,2,1,1,3,4,1,2,0,3,3,3,3
1997,0,0,0,2,3,2,4,3,3,0,4,2
1996,2,1,1,1,2,3,7,1,4,0,4,2
1995,0,1,0,4,2,2,3,3,3,2,2,2
1994,2,0,1,5,2,0,1,3,0,2,0,1
1993,0,2,0,1,1,0,0,1,0,1,2,1
1992,0,0,1,0,0,0,0,0,1,0,1,2
1991,0,1,0,0,0,0,1,1,0,1,1,0
1990,0,0,0,0,0,0,0,0,0,0,1,1
1989,0,0,0,0,0,0,0,0,0,0,2,0
1988,0,0,0,0,0,0,0,0,0,1,1,1
1987,0,0,0,0,0,0,0,0,0,1,1,1
1986,0,0,0,0,0,0,0,0,0,0,0,1
1985,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0
