Year,awful,wellBelowAverage,notGoodAtAll,poor,belowAverage,average,aboveAverage,fairlyGood,good,wellAboveAverage,veryGood,excellent
2016,6,6,0,4,4,2,2,5,4,2,3,8
2015,0,0,1,1,1,3,4,4,1,2,7,10
2014,4,2,0,0,1,0,4,5,6,6,9,10
2013,2,6,1,6,3,5,3,5,6,6,4,10
2012,2,3,4,2,4,2,2,7,4,1,7,10
2011,7,5,2,8,5,8,6,9,8,8,15,9
2010,7,9,6,6,5,6,5,4,11,4,9,8
2009,10,5,5,10,7,6,5,7,14,8,4,7
2008,11,6,3,7,10,6,6,3,6,4,13,7
2007,6,8,7,7,6,6,3,6,4,9,11,8
2006,13,3,10,5,4,3,2,6,3,3,7,6
2005,11,7,8,9,3,11,5,10,10,6,10,4
2004,14,6,5,14,5,11,4,4,4,5,11,5
2003,12,5,0,8,11,6,6,4,5,6,4,2
2002,3,6,1,16,5,8,4,6,6,8,8,6
2001,1,3,4,3,3,5,2,1,7,2,1,4
2000,2,1,1,3,1,2,4,3,1,0,1,1
1999,1,0,0,0,0,3,3,1,2,1,2,2
1998,2,2,3,4,1,2,2,1,0,2,3,1
1997,1,2,3,7,3,1,1,3,2,0,1,3
1996,4,3,1,2,0,4,3,0,2,3,1,0
1995,2,4,5,6,4,2,3,2,1,0,0,0
1994,0,0,1,1,0,2,1,2,1,1,0,2
1993,0,0,0,1,0,0,0,0,0,0,0,1
1992,1,0,0,0,2,0,0,0,0,0,0,0
1991,0,0,0,0,1,0,1,0,0,0,1,0
1990,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,1,0
1988,0,0,0,0,0,0,0,0,1,0,0,0
1987,0,0,0,0,0,0,1,0,1,0,0,0
1986,0,0,0,0,0,0,0,1,0,0,3,0
1985,0,0,0,0,0,0,0,0,0,0,1,0
1984,0,0,0,0,0,0,0,0,0,0,2,1
1983,0,0,0,0,0,0,0,0,1,0,0,0
1982,0,0,0,0,0,0,0,0,2,2,1,0
1981,10,0,0,0,0,1,1,1,0,1,5,1
1980,2,0,0,0,0,0,0,0,0,0,0,2
