Year,awful,wellBelowAverage,notGoodAtAll,poor,belowAverage,average,aboveAverage,fairlyGood,good,wellAboveAverage,veryGood,excellent
2016,5,1,0,3,1,1,0,1,0,1,0,3
2015,2,2,0,0,1,3,1,4,0,0,0,7
2014,2,0,2,0,1,1,0,1,1,0,1,7
2013,4,2,1,2,3,2,0,2,0,0,1,7
2012,1,0,2,2,1,5,1,2,0,1,1,4
2011,10,6,6,8,5,5,3,2,3,4,2,9
2010,17,9,8,7,7,6,7,3,5,3,4,12
2009,16,10,12,23,9,14,11,12,5,3,2,11
2008,18,7,7,10,7,9,12,12,12,7,11,12
2007,12,8,3,7,6,1,10,7,8,7,11,7
2006,17,5,1,3,2,7,4,5,4,2,4,5
2005,4,1,3,4,3,2,6,5,1,1,5,5
2004,3,3,2,4,0,1,4,5,2,0,2,7
2003,3,2,3,2,0,2,5,3,5,4,2,4
2002,1,2,3,3,2,0,0,2,1,1,1,5
2001,3,3,2,1,2,1,1,6,0,0,3,5
2000,1,3,1,2,2,0,2,2,0,2,0,3
1999,1,0,0,2,2,0,4,4,2,2,2,3
1998,0,0,1,1,0,0,1,0,1,0,2,3
1997,0,1,1,2,0,0,5,4,0,2,4,3
1996,0,0,2,2,1,1,1,1,0,0,4,0
1995,1,2,1,4,1,1,0,0,3,0,0,0
1994,0,0,0,1,0,1,2,1,1,0,1,0
1993,0,0,0,0,0,1,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,1
1991,0,0,0,0,0,1,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,1,0
1989,0,0,0,0,0,0,0,0,0,0,0,2
1988,1,0,0,0,0,0,0,0,0,0,0,1
1987,0,0,0,0,0,0,0,0,0,0,0,1
1986,0,0,0,0,0,0,0,0,0,0,0,2
1985,1,0,0,0,0,0,0,0,0,0,0,1
1984,0,0,0,0,0,0,0,0,0,0,0,2
1983,0,0,0,0,0,0,0,0,0,0,0,1
1982,0,0,0,0,0,0,0,0,0,0,0,0
1981,1,0,0,0,0,0,0,0,1,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0
