Year,awful,wellBelowAverage,notGoodAtAll,poor,belowAverage,average,aboveAverage,fairlyGood,good,wellAboveAverage,veryGood,excellent
2016,8,5,1,3,7,3,4,4,2,1,4,0
2015,8,3,6,8,3,4,0,4,4,3,5,1
2014,3,0,2,4,5,2,2,5,11,4,7,1
2013,6,2,2,3,2,5,4,5,3,6,7,1
2012,1,4,2,6,2,7,6,2,6,5,7,1
2011,8,12,7,14,16,15,10,12,7,6,3,1
2010,15,10,11,26,16,22,17,20,11,13,10,2
2009,6,10,9,27,18,19,16,17,14,13,15,2
2008,13,6,10,18,21,28,16,24,14,15,16,2
2007,16,11,9,18,7,16,22,13,12,12,16,6
2006,0,13,6,11,14,15,9,9,20,7,8,2
2005,10,4,7,19,8,15,9,13,11,7,13,2
2004,4,7,7,7,7,12,5,10,15,7,14,1
2003,4,9,4,11,8,16,21,16,13,5,14,4
2002,20,17,15,24,21,22,20,11,13,4,14,2
2001,2,6,3,5,10,17,12,10,9,7,9,5
2000,0,2,8,6,8,11,11,9,5,5,12,0
1999,1,5,2,5,4,5,9,13,8,1,6,1
1998,2,4,4,6,2,4,7,5,10,10,13,2
1997,2,2,0,1,4,5,4,4,9,3,9,0
1996,2,4,3,3,6,10,6,4,6,1,6,1
1995,3,1,1,4,3,4,7,1,2,1,2,1
1994,2,2,2,1,0,0,3,6,3,1,2,0
1993,0,1,0,1,1,2,0,0,2,2,0,0
1992,0,0,0,0,0,1,1,0,1,0,0,1
1991,0,0,1,0,1,1,1,2,0,0,1,1
1990,0,0,0,0,0,0,1,1,0,0,1,0
1989,0,0,0,0,0,0,0,0,0,0,1,0
1988,0,0,0,0,0,0,0,0,0,0,1,0
1987,0,0,1,1,0,0,0,0,0,0,1,0
1986,0,0,0,0,0,0,1,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,2,0,0,0
1981,4,0,0,0,1,2,1,0,0,0,0,0
1980,1,0,0,0,0,0,0,0,1,0,0,0
