Year,awful,wellBelowAverage,notGoodAtAll,poor,belowAverage,average,aboveAverage,fairlyGood,good,wellAboveAverage,veryGood,excellent
2016,0,3,1,2,2,0,2,0,0,0,0,0
2015,4,3,1,1,0,2,2,0,1,0,0,0
2014,1,2,3,0,0,0,0,2,0,0,0,0
2013,3,0,2,2,1,3,3,2,0,1,2,0
2012,4,0,0,1,0,1,2,1,2,1,0,0
2011,11,5,4,8,2,4,1,4,1,0,3,0
2010,11,4,1,3,7,6,8,3,1,1,1,1
2009,19,11,6,2,3,7,2,3,3,1,2,1
2008,13,2,3,11,1,4,3,2,2,6,2,0
2007,13,12,7,7,2,4,5,11,1,0,0,0
2006,16,8,2,5,1,4,2,0,0,2,0,0
2005,2,4,3,4,4,5,1,3,1,0,1,0
2004,4,3,9,6,0,0,3,2,1,3,1,0
2003,6,5,5,4,3,6,1,1,3,1,2,0
2002,4,1,1,3,2,2,3,1,1,2,1,0
2001,5,2,0,5,1,0,0,1,2,2,1,1
2000,2,0,2,1,1,3,0,2,2,1,2,1
1999,0,4,0,5,0,3,5,0,3,0,3,2
1998,6,5,2,7,4,1,3,0,1,2,2,2
1997,1,1,0,1,5,1,3,4,2,1,0,1
1996,0,0,0,1,1,4,1,1,2,0,0,1
1995,1,0,0,5,3,1,1,1,1,0,0,1
1994,0,0,0,0,1,1,1,1,1,0,0,1
1993,0,0,0,0,0,1,0,0,1,0,0,0
1992,1,0,1,0,0,0,1,0,0,0,0,0
1991,0,0,0,0,0,2,1,1,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0
