Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy,TOTAL
2016,9,1,1,2,0,0,0,2,2,0,4,2,23
2015,10,0,2,2,2,0,2,9,4,1,0,2,34
2014,24,4,2,2,0,0,2,2,4,0,2,0,42
2013,12,1,2,4,3,0,4,5,3,0,4,3,41
2012,16,3,1,7,0,0,4,7,2,1,6,2,49
2011,23,3,4,21,1,2,3,9,6,3,10,1,86
2010,23,7,2,15,8,4,3,7,5,7,17,8,106
2009,29,10,2,20,1,7,6,13,5,11,16,2,122
2008,21,8,1,16,2,3,6,11,6,12,16,3,105
2007,24,5,2,10,1,4,14,6,3,10,22,5,106
2006,13,7,4,5,5,4,2,16,2,4,9,2,73
2005,21,5,4,12,9,4,8,5,5,6,9,1,89
2004,8,3,4,9,4,2,6,9,4,4,5,3,61
2003,10,0,4,5,8,0,15,6,6,5,21,1,81
2002,11,6,5,5,10,0,13,4,4,0,20,3,81
2001,7,1,1,3,2,3,7,4,2,1,12,0,43
2000,4,1,2,2,4,1,4,3,4,2,11,0,38
1999,3,0,1,4,2,1,6,5,3,4,9,5,43
1998,5,1,8,5,2,0,5,2,2,1,7,3,41
1997,4,0,5,1,2,1,5,4,1,5,4,3,35
1996,2,1,3,2,1,1,2,7,3,1,6,1,30
1995,0,0,3,2,3,1,0,3,3,0,7,1,23
1994,0,0,3,1,0,0,1,1,1,2,3,1,13
1993,0,0,1,0,1,0,0,0,0,0,0,0,2
1992,0,0,0,0,0,1,1,0,0,0,1,1,4
1991,1,0,0,0,2,0,0,1,1,0,1,1,7
1990,0,0,0,0,0,0,0,0,0,0,1,0,1
1989,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,1,0,0,0,0,0,0,0,0,0,0,0,1
1987,0,0,0,0,0,0,0,0,1,0,0,0,1
1986,0,0,0,0,0,0,0,0,0,0,1,0,1
1985,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,1,0,0,0,0,0,1
1983,1,0,0,0,0,0,0,0,0,0,0,0,1
1982,4,0,0,0,0,0,0,0,0,0,0,0,4
1981,3,0,0,0,0,0,0,0,1,0,1,0,5
1980,0,0,0,2,0,0,0,0,0,0,0,0,2
