Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy,TOTAL
2016,2,0,0,0,0,0,0,1,8,0,3,0,14
2015,10,0,1,0,1,0,2,3,10,1,7,0,35
2014,9,0,2,5,2,0,2,6,10,1,7,0,44
2013,17,0,0,3,4,0,3,5,10,1,7,0,50
2012,7,0,0,3,2,0,2,6,10,1,4,0,35
2011,15,2,2,4,2,1,2,7,9,1,9,0,54
2010,14,1,0,8,6,1,3,9,8,2,12,1,65
2009,13,0,4,5,3,2,4,7,7,2,11,1,59
2008,14,1,4,12,3,1,6,6,7,2,12,0,68
2007,8,2,2,13,5,4,6,6,8,6,7,0,67
2006,8,0,2,6,4,2,2,6,6,2,5,0,43
2005,8,0,2,5,1,1,4,3,4,2,5,0,35
2004,6,0,2,2,5,1,5,8,5,1,7,0,42
2003,10,0,4,2,5,0,5,5,2,4,4,0,41
2002,12,2,5,2,7,1,2,3,6,2,5,0,47
2001,10,2,2,3,8,1,7,1,4,5,5,1,49
2000,5,0,3,3,3,0,2,4,1,0,3,1,25
1999,2,0,1,3,3,0,4,5,2,1,3,2,26
1998,6,2,4,1,5,1,3,3,1,2,3,2,33
1997,6,1,0,0,4,0,4,2,3,0,3,1,24
1996,4,0,2,2,4,1,4,2,0,1,0,1,21
1995,0,0,3,1,4,0,0,2,0,1,0,1,12
1994,0,1,0,1,6,0,0,1,2,0,0,1,12
1993,0,0,2,0,1,0,0,1,1,0,0,0,5
1992,1,1,3,2,2,0,1,2,0,1,1,0,14
1991,1,0,0,0,1,0,0,0,0,1,0,0,3
1990,2,0,0,0,1,1,2,1,0,0,0,0,7
1989,1,0,0,0,1,3,0,0,0,0,2,0,7
1988,0,0,0,0,2,1,1,1,0,0,1,0,6
1987,0,1,2,0,0,0,0,1,0,0,1,0,5
1986,2,0,0,0,1,0,1,1,0,0,2,0,7
1985,1,0,0,0,1,0,0,0,0,0,1,0,3
1984,1,0,0,0,0,0,1,0,1,0,2,0,5
1983,0,0,0,1,1,0,0,0,0,0,1,0,3
1982,0,0,0,0,0,1,0,0,0,0,0,0,1
1981,2,0,0,0,1,0,0,0,1,0,0,0,4
1980,0,0,0,0,0,0,0,0,2,0,0,0,2
